product,date,price
Base (01-24),"Sat,_06/07",81.38
Base (01-24),"Sun,_06/08",63.54
Base (01-24),"Mon,_06/09",77.97
Base (01-24),"Tue,_06/10",83.58
Base (01-24),"Wed,_06/11",83.99
Base (01-24),"Thu,_06/12",85.41
Peak (9-20),"Sat,_06/07",48.62
Peak (9-20),"Sun,_06/08",34.44
Peak (9-20),"Mon,_06/09",43.5
Peak (9-20),"Tue,_06/10",69.62
Peak (9-20),"Wed,_06/11",59.18
Peak (9-20),"Thu,_06/12",58.13
Off-Peak  (1-8 & 21-24),"Sat,_06/07",114.13
Off-Peak  (1-8 & 21-24),"Sun,_06/08",92.65
Off-Peak  (1-8 & 21-24),"Mon,_06/09",112.44
Off-Peak  (1-8 & 21-24),"Tue,_06/10",97.54
Off-Peak  (1-8 & 21-24),"Wed,_06/11",108.81
Off-Peak  (1-8 & 21-24),"Thu,_06/12",112.7
