hour,metric,date,value
0 - 1,EUR/MWh,"Fri,_06/06",103.57
0 - 1,EUR/MWh,"Sat,_06/07",103.83
0 - 1,EUR/MWh,"Sun,_06/08",96.01
0 - 1,EUR/MWh,"Mon,_06/09",99.12
0 - 1,EUR/MWh,"Tue,_06/10",89.91
0 - 1,EUR/MWh,"Wed,_06/11",81.11
0 - 1,EUR/MWh,"Thu,_06/12",107.36
MWh,2571.2,"Fri,_06/06",2284.9
MWh,2571.2,"Sat,_06/07",2217.9
MWh,2571.2,"Sun,_06/08",2201.8
MWh,2571.2,"Mon,_06/09",2730.2
MWh,2571.2,"Tue,_06/10",2249.4
MWh,2571.2,"Wed,_06/11",2658.9
1 - 2,EUR/MWh,"Fri,_06/06",120.2
1 - 2,EUR/MWh,"Sat,_06/07",99.5
1 - 2,EUR/MWh,"Sun,_06/08",88.63
1 - 2,EUR/MWh,"Mon,_06/09",94.51
1 - 2,EUR/MWh,"Tue,_06/10",81.81
1 - 2,EUR/MWh,"Wed,_06/11",74.99
1 - 2,EUR/MWh,"Thu,_06/12",90
MWh,2810,"Fri,_06/06",2192.5
MWh,2810,"Sat,_06/07",2769.7
MWh,2810,"Sun,_06/08",2313.1
MWh,2810,"Mon,_06/09",2938.1
MWh,2810,"Tue,_06/10",2224
MWh,2810,"Wed,_06/11",3179
2 - 3,EUR/MWh,"Fri,_06/06",108.37
2 - 3,EUR/MWh,"Sat,_06/07",96.12
2 - 3,EUR/MWh,"Sun,_06/08",86.39
2 - 3,EUR/MWh,"Mon,_06/09",87.49
2 - 3,EUR/MWh,"Tue,_06/10",71.07
2 - 3,EUR/MWh,"Wed,_06/11",68.99
2 - 3,EUR/MWh,"Thu,_06/12",84.77
MWh,2604.8,"Fri,_06/06",2282.5
MWh,2604.8,"Sat,_06/07",2907.4
MWh,2604.8,"Sun,_06/08",2737.7
MWh,2604.8,"Mon,_06/09",2676.3
MWh,2604.8,"Tue,_06/10",2130.1
MWh,2604.8,"Wed,_06/11",3264.6
3 - 4,EUR/MWh,"Fri,_06/06",102.2
3 - 4,EUR/MWh,"Sat,_06/07",96.24
3 - 4,EUR/MWh,"Sun,_06/08",84.11
3 - 4,EUR/MWh,"Mon,_06/09",85.21
3 - 4,EUR/MWh,"Tue,_06/10",61.82
3 - 4,EUR/MWh,"Wed,_06/11",72.64
3 - 4,EUR/MWh,"Thu,_06/12",85.12
MWh,2509.7,"Fri,_06/06",2201.8
MWh,2509.7,"Sat,_06/07",3118
MWh,2509.7,"Sun,_06/08",3014.7
MWh,2509.7,"Mon,_06/09",2448.4
MWh,2509.7,"Tue,_06/10",2178.4
MWh,2509.7,"Wed,_06/11",3131.1
4 - 5,EUR/MWh,"Fri,_06/06",108.5
4 - 5,EUR/MWh,"Sat,_06/07",91.51
4 - 5,EUR/MWh,"Sun,_06/08",78.96
4 - 5,EUR/MWh,"Mon,_06/09",87.33
4 - 5,EUR/MWh,"Tue,_06/10",56.22
4 - 5,EUR/MWh,"Wed,_06/11",73.35
4 - 5,EUR/MWh,"Thu,_06/12",89.35
MWh,2418.1,"Fri,_06/06",2284.8
MWh,2418.1,"Sat,_06/07",3052.2
MWh,2418.1,"Sun,_06/08",2821.2
MWh,2418.1,"Mon,_06/09",2509.4
MWh,2418.1,"Tue,_06/10",2214.8
MWh,2418.1,"Wed,_06/11",2621.6
5 - 6,EUR/MWh,"Fri,_06/06",98.25
5 - 6,EUR/MWh,"Sat,_06/07",90.21
5 - 6,EUR/MWh,"Sun,_06/08",65.93
5 - 6,EUR/MWh,"Mon,_06/09",91.81
5 - 6,EUR/MWh,"Tue,_06/10",70.35
5 - 6,EUR/MWh,"Wed,_06/11",87.65
5 - 6,EUR/MWh,"Thu,_06/12",96.89
MWh,2526,"Fri,_06/06",2118.5
MWh,2526,"Sat,_06/07",2925.3
MWh,2526,"Sun,_06/08",2582.4
